Initial Proficiency (%),Session Duration (minutes),Improvement Rate (%),Total Days Required,Minutes Per Day,Target Proficiency (%)
53.86,28.23,0.22,167,0.17,90
40.38,16.67,0.17,300,0.06,90
38.96,15.55,0.16,323,0.05,90
44.7,24.32,0.22,203,0.12,90
7.42,58.1,0.9,93,0.62,90
65.04,52.36,0.31,82,0.64,90
77.39,47.39,0.18,71,0.67,90
51.17,40.77,0.33,118,0.35,90
79.98,30.89,0.1,98,0.32,90
50.49,10.44,0.09,459,0.02,90
9.21,36.85,0.56,145,0.25,90
40.42,21.49,0.21,233,0.09,90
64.75,40.25,0.24,107,0.38,90
4.24,22.22,0.35,242,0.09,90
78.54,43.66,0.16,74,0.59,90
71.51,34.46,0.16,114,0.3,90
26.82,58.22,0.71,89,0.65,90
68.72,55.91,0.29,74,0.76,90
65.94,17,0.1,250,0.07,90
19.67,42.31,0.57,125,0.34,90
64.42,58.64,0.35,74,0.79,90
7.59,17.6,0.27,305,0.06,90
9.12,33.06,0.5,162,0.2,90
60.65,24.17,0.16,186,0.13,90
57.74,19.85,0.14,231,0.09,90
0.03,45.27,0.75,120,0.38,90
2.26,25.9,0.42,208,0.12,90
69.84,25.3,0.13,159,0.16,90
28.9,13.08,0.16,395,0.03,90
51.44,51.58,0.42,93,0.55,90
25.37,13.6,0.17,383,0.04,90
38.72,52.94,0.54,95,0.56,90
2.08,46.96,0.77,115,0.41,90
13.37,54.71,0.79,98,0.56,90
36.06,26.81,0.29,189,0.14,90
18.63,50.28,0.68,105,0.48,90
67.72,26.54,0.14,157,0.17,90
36.12,57.96,0.62,88,0.66,90
26.49,49.39,0.61,105,0.47,90
22.93,12.63,0.16,414,0.03,90
68.34,14.1,0.07,292,0.05,90
34.94,54.3,0.59,94,0.58,90
62.22,25.04,0.16,177,0.14,90
33.43,16.83,0.19,303,0.06,90
28.85,30.78,0.37,168,0.18,90
1.37,40.78,0.67,133,0.31,90
59.77,58.82,0.39,77,0.76,90
2.74,20.33,0.33,265,0.08,90
24.24,43.85,0.55,119,0.37,90
52.52,52.33,0.41,91,0.58,90
78.78,12.46,0.04,255,0.05,90
39.08,27.85,0.28,181,0.15,90
20.83,30.85,0.41,170,0.18,90
14.04,49.22,0.71,108,0.46,90
14.35,23.96,0.34,222,0.11,90
60.8,31.16,0.2,144,0.22,90
4.43,29.39,0.47,183,0.16,90
15.08,42.06,0.6,126,0.33,90
79.18,26.66,0.09,117,0.23,90
43.43,15.17,0.14,326,0.05,90
37.94,42.56,0.44,119,0.36,90
11.64,33.8,0.5,158,0.21,90
22.97,36.01,0.46,145,0.25,90
25.36,52.61,0.65,99,0.53,90
15.69,36.43,0.51,146,0.25,90
72.32,28.69,0.13,134,0.21,90
46.16,41.11,0.37,119,0.35,90
7.24,25.08,0.39,214,0.12,90
